! .
& CC-TL
foolish JJ
foolishly RB
foot NN
football NN
footsteps NNS
footstool NN
for CS
for IN
forbidden VBN
forbore VBD
force NN
force VB
forced VBN
forcing VBG
forebears NNS
forefinger NN
forehead NN
foreheads NNS
foreign JJ
forepart NN
forepaws NNS
forever RB
forever-Cathy NP
forgave VBD
forged VBN
forget VB
forgive VB
forgiven VBN
forgot VBD
forgotten VBN
fork NN
forked VBN
form NN
form VB
formal JJ
former AP
forming VBG
forms NNS
forth RB
forthright JJ
fortresses NNS
fortunate JJ
fortune NN
fortunes NNS
forty CD
forty-four CD
forty-seven CD
forum NN
forward RB
fought VBD
fought VBN
foul JJ
found VBD
found VBN
foundation NN
founding NN
fountain NN
fountain-falls NNS
four CD
four-o'clock NN
four-wheel-drive NN
fourteen CD
fragile JJ
fragment NN
fragrant JJ
frame NN
framed VBN
frames NNS
framing VBG
frank JJ
frankest JJT
frankness NN
frantic JJ
frantically RB
fraternity NN
fraud NN
fray NN
frayed VBN
freak NN
freakish JJ
freckles NNS
free JJ
freedom NN
freezing VBG
freight NN
freighter NN
frenetic JJ
frenzied JJ
frenziedly RB
frenzy NN
frequently RB
fresh JJ
freshness NN
fretted VBD
friend NN
friendly JJ
friends NNS
fright NN
frighten VB
frightened VBN
frightening VBG
frightful JJ
frivolous JJ
frog NN
frogs NNS
from IN
front JJ
front NN
frothy JJ
frowned VBD
frowning VBG
frozen VBN
fruit NN
fuchsia NN
fuel NN
fulfilling VBG
full JJ
full QL
full RB
fullest JJT
fully RB
fumbled VBD
fumed VBD
fumes NNS
fun NN
fun-loving JJ
funeral JJ
funeral NN
funny JJ
fur NN
fur-piece NN
furiously RB
furnace NN
furnished VBN
furnishings NNS
furniture NN
furrow NN
furrowed VBD
further JJR
further RBR
fury NN
fuss NN
fussing VBG
future NN
fuzz NN
fuzzy JJ
gabble NN
gagging VBG
gaiety NN
gaily RB
gain VB
gaining VBG
gambit NN
gamblers NNS
gambling VBG
game NN
games NNS
gang NN
gang VB
gangway NN
gantlet NN
gaped VBD
garden NN
garlic NN
garments NNS
garnet NN
gas NN
gasp VB
gasping VBG
gasps NNS
gasser NN
gate NN
gates NNS
gateway NN
gather VB
gathering NN
gathering VBG
gatherings NNS
gathers VBZ
gaudy JJ
gauze NN
gave VBD
gay JJ
gaze NN
gazed VBD
gazing VBG
geldings NNS
general JJ
generally RB
generals NNS
generous JJ
genius NN
gentility NN
gentle JJ
gentleman NN
gentler JJR
gently RB
geology NN
geometry NN
gesture NN
gestures NNS
get VB
gets VBZ
getting VBG
ghastly JJ
ghetto NN
ghettos NNS
ghost NN
ghosts NNS
giant JJ
giant NN
gift NN
gifted JJ
gigantic JJ
giggled VBD
giggles NNS
gilded VBN
ginger NN
ginkgo NN
girdle NN
girl NN
girl's NN$
girl-san NN
girls NNS
git VB
give VB
given VBN
gives VBZ
giving NN
giving VBG
glad JJ
gladly RB
glamorous JJ
glance NN
glance VB
glanced VBD
glances NNS
glancing VBG
glared VBD
glaring VBG
glass NN
glasses NNS
gleamed VBD
gleaming VBG
glee NN
gleeful JJ
gleefully RB
glimmer NN
glimpsed VBN
glissade NN
glisten NN
glistening VBG
gloom NN
gloomily RB
glories NNS
glorified VBN
glory NN
glorying VBG
glove NN
gloved VBN
gloves NNS
glowed VBD
glowing VBG
glued VBN
glycerin NN
gnarled JJ
go VB
goal NN
goat NN
goat's NN$
gobbled VBD
god NN
goddamit UH
goddamn JJ
godless JJ
goes VBZ
goggle-eyed JJ
going NN
going VBG
gold NN
golden JJ
goldsmith NN
golf NN
gone VBN
gonna VBG+TO
good JJ
good NN
good RB
good-by NN
good-by UH
good-bye UH
good-living JJ
good-looking JJ
goodness NN
goodness' NN$
goods NNS
goooolick UH
goose NN
gorgeous JJ
gossip NN
gossiping VBG
got VBD
got VBN
gotta VBN+TO
gotten VBN
government NN
governor NN
gown NN
grabbed VBD
grabs NNS
grace NN
graceful JJ
gracefully RB
grades NNS
gradually RB
graduated VBD
graham NN
gran'dad NP
grand-daughter NN
grandchildren NNS
grandfather NN
grandly RB
grandmother NN
grandsons NNS
granted VBN
grape NN
grappling VBG
grasp VB
grasped VBN
grass NN
grasses NNS
grateful JJ
grating NN
grave JJ
grave NN
graves NNS
graveyard NN
graveyards NNS
gravy NN
gray JJ
gray-looking JJ
grease NN
greased VBD
great JJ
great QL
great-grandfather NN
greater JJR
greatest JJT
greatness NN
greed NN
greedy JJ
green JJ
greening VBG
greeted VBD
grew VBD
grief NN
grim JJ
grimaced VBD
grimly RB
grindstone NN
grinned VBD
grinning VBG
grip NN
gripped VBD
gripping VBG
groaned VBD
groaning VBG
groceries NNS
grocery NN
groomed VBN
grooved VBN
gross JJ
grotesque JJ
ground NN
ground VBD
grounded VBN
grounds NNS
group NN
groups NNS
grow VB
growing VBG
grown VBN
grown-up JJ
grubby JJ
grunted VBD
guarantee NN
guarantees NNS
guard VB
guarding VBG
guess VB
guessed VBD
guessed VBN
guest NN
guests NNS
guided VBN
guild NN
guilt NN
guilty JJ
guinea NN
guitar NN
gull NN
gumming VBG
guns NNS
gushed VBD
gusty JJ
guttural JJ
guy NN
guy's NN$
guy's NN+BEZ
guys NNS
gypsies NNS
gypsy NN
habit NN
habitual JJ
had HVD
had HVN
hadn't HVD*
hair NN
haircuts NNS
hairpin NN
hairs NNS
hairy JJ
half ABN
half-closed JJ
half-drunk JJ
half-hour NN
half-murmured JJ
half-smile NN
halfway RB
hall NN
hall's NN$
hallway NN
halt VB
ham NN
ham-radio NN
hamburger NN
hand NN
hand VB
handcuffs NNS
handed VBD
hander NN
handkerchief NN
handle NN
handle VB
handled VBD
hands NNS
handsome JJ
handsomer JJR
handspikes NNS
handwriting NN
handy JJ
hang VB
hanged VBD
hanged VBN
hangers NNS
hanging VBG
hangouts NNS
hangs VBZ
happen VB
happened VBD
happened VBN
happens VBZ
happier JJR
happily RB
happiness NN
happy JJ
haranguing VBG
harbor NN
hard JJ
hard RB
hard-boiled JJ
harder RBR
hardly RB
hardships NNS
hardware NN
harelips NNS
harm NN
harm VB
harsh JJ
harshened VBD
harshness NN
has HVZ
hasn't HVZ*
hastened VBD
hasty JJ
hat NN
hate NN
hate VB
hated VBD
hated VBN
hating VBG
hatred NN
hauled VBN
haunches NNS
haunted VBD
haunted VBN
haunting JJ
have HV
haven't HV*
having HVG
haze NN
hazel NN
hazy JJ
he PPS
he'd PPS+HVD
he'd PPS+MD
he'll PPS+MD
he's PPS+BEZ
he's PPS+HVZ
head NN
heading VBG
headlights NNS
heads NNS
headstones NNS
heal VB
healing NN
health NN
hear VB
heard VBD
heard VBN
hearing VBG
hearse NN
heart NN
heart-stopping JJ
heartless JJ
hearts NNS
heat NN
heatedly RB
heater NN
heaven NN
heavers NNS
heavily RB
heavily-upholstered JJ
heaviness NN
heavy JJ
hedge NN
heel NN
heels NNS
hefty JJ
height NN
heights NNS
heir NN
held VBD
held VBN
hell NN
helluva JJ
help NN
help VB
helped VBD
helped VBN
helping VBG
helpless JJ
helplessness NN
helsq'iyokom FW-NN
hemlocks NNS
hemming VBG
hens NNS
her PP$
her PPO
here RB
here RN
heritage NN
hero NN
heroic JJ
heroically RB
hers PP$$
herself PPL
hesitate VB
hesitated VBD
hesitation NN
hiccups NNS
hid VBD
hide VB
hideous JJ
hideously RB
hides NNS
hiding VBG
high JJ
high RB
high-pitched JJ
high-school NN
high-speed NN
highball NN
higher JJR
higher RBR
highly QL
highway NN
hiking VBG
hill NN
hills NNS
hillside NN
hilltops NNS
him PPO
himself PPL
hinges NNS
hint NN
hinting VBG
hips NNS
hired VBN
his PP$
his PP$$
his PP$-TL
hissed VBD
historical JJ
history NN
hit VB
hit VBD
hit-and-miss JJ
hoarse JJ
hoarseness NN
hobbled VBN
hold NN
hold VB
holding VBG
hole NN
holidays NNS
holier-than-thou JJ
hollow JJ
hollow NN
holy JJ
holystones NNS
home NN
home NR
homely JJ
hon NN
honest JJ
honestly RB
honey NN
honey-in-the-sun JJ
honeymooning VBG
honeysuckle NN
honor NN
honorable JJ
hoof-and-mouth NN
hoofs NNS
hooked VBD
hooked VBN
hop NN
hop VB
hope NN
hope VB
hoped VBD
hopeful JJ
hopelessly RB
hoping VBG
hopped VBD
hopping VBG
hopscotch NN
horizon NN
horn-rimmed JJ
horrible JJ
horrified VBN
horror NN
horse NN
horse-blanket NN
horseplay NN
horses NNS
hospital NN
hospitality NN
hostess NN
hostile JJ
hot JJ
hotel NN
hour NN
hour-long JJ
hours NNS
house NN
housed VBD
housed VBN
household NN
houses NNS
hovel NN
how QL
how WRB
however WQL
however WRB
howling VBG
huddled VBD
huddling VBG
huge JJ
huh UH
hulks NNS
human JJ
human NN
humiliated VBN
humiliation NN
hummed VBD
humming NN
humor NN
humor VB
humorous JJ
hunched-up JJ
hundred CD
hundred-and-fifty CD
hundred-yen JJ
hundreds NNS
hung VBD
hunger NN
hungry JJ
hunting VBG
hurdle NN
hurled VBD
hurling VBG
hurried VBD
hurry NN
hurrying VBG
hurt NN
hurt VB
hurt VBD
hurt VBN
hurtling VBG
hurts VBZ
husband NN
husband-stealer NN
hushed VBN
hustler NN
hyphenated VBN
hypocrisy NN
hysterectomy NN
hysterical JJ
ice NN
ice-feeling JJ
icebox NN
icy JJ
idea NN
ideal JJ
ideas NNS
identified VBN
ideologies NNS
idiot NN
idle VB
idly RB
if CS
ignorant JJ
ignore VB
ignored VBD
ignored VBN
illness NN
illnesses NNS
illusion NN
illustrated VBN
illustrating VBG
illustration NN
illustrator NN
illustrators NNS
image NN
images NNS
imagination NN
imagine VB
imagined VBD
imitated VBD
imitating VBG
immature JJ
immeasurable JJ
immediately RB
immemorial JJ
immense JJ
immigrants NNS
immortal JJ
impatience NN
impatient JJ
impelled VBN
imperative JJ
imperious JJ
imperiously RB
impersonal JJ
impetuous JJ
impinge VB
implacable JJ
implausibly RB
implications NNS
implicit JJ
implied VBD
importance NN
important JJ
imposition NN
impossible JJ
impressed VBN
impression NN
impressionist NN
imprisoned VBN
improved VBN
impulse NN
impulses NNS
in FW-IN
in IN
in IN-TL
in RP
in-laws NNS
inability NN
inaction NN
inadvertent JJ
incarcerated VBN
incarnation NN
incentive NN
incessantly RB
inch NN
inches NNS
incident NN
incidents NNS
inclement JJ
inclined VBN
included VBD
included VBN
including IN
incoherent JJ
income NN
incongruity NN
increased VBN
increasingly RB
incredible JJ
incredulity NN
indebted JJ
indecipherable JJ
indecisively RB
indeed RB
independent JJ
indeterminate JJ
indicated VBD
indifference NN
indigestion NN
indignant JJ
indignation NN
indignities NNS
indoctrination NN
indoors RB
indulge VB
industrialist NN
industries NNS
industry NN
inevitable JJ
inevitably RB
inexhaustible JJ
inexplicable JJ
infancy NN
infected VBD
infection NN
infield NN
infinite JJ
inflection NN
influence NN
influenced VBN
information NN
informed VBN
infuriated VBD
ingenious JJ
inhabitants NNS
injured VBN
inlet NN
inner JJ
inning NN
innings NNS
innocent JJ
innocently RB
innumerable JJ
inquiry NN
inscription NN
insect NN
inserted VBD
inshore RB
inside IN
inside NN
inside RB
insiders NNS
insides NNS
insist VB
insisted VBD
insolence NN
insolent JJ
insolently RB
insomma UH
inspect VB
inspected VBD
inspection NN
installed VBD
installed VBN
installment NN
instance NN
instant JJ
instantly RB
instead RB
instigating VBG
instigator NN
instinct NN
instinctively RB
instructed VBN
instruction NN
instrument NN
instruments NNS
insularity NN
insult NN
insulted VBD
insulting JJ
insure VB
insurmountable JJ
intellect NN
intellectual NN
intelligent JJ
intend VB
intended VBD
intended VBN
intensely RB
intention NN
intently RB
interdependent JJ
interest NN
interested VBN
interesting JJ
interests NNS
interfere VB
interlaced VBN
interlude NN
intern NN
interns NNS
interpretation NN
interpreted VBN
interpreter NN
interrupted VBD
interrupted VBN
interruption NN
intervals NNS
intimacy NN
intimate JJ
intimated VBD
into IN
intoxicated VBN
intraepithelial JJ
intrepid JJ
intriguingly RB
introduce VB
introduced VBD
intuition NN
invaders NNS
invariably RB
invested VBN
investigate VB
investigation NN
invigorating VBG
invisible JJ
invite NN
inviting VBG
involved VBD
involved VBN
involvement NN
inward JJ
inward RB
iron NN
iron-poor JJ
ironed VBN
irons NNS
irresponsible JJ
irritating JJ
irritation NN
is BEZ
is BEZ-TL
island NN
isn't BEZ*
isolating VBG
issued VBD
it PPO
it PPS
it UH
it'll PPS+MD
it's PPS+BEZ
items NNS
its PP$
itself PPL
jacket NN
jackets NNS
jade NN
jag NN
jaggedly RB
jammed VBN
janitor NN
jar NN
jaw NN
je FW-PPSS
jeans NNS
jerk VB
jerked VBD
jerking VBG
jet NN
jet-black NN
jeweler's NN$
jiffy NN
jiggling VBG
jilted VBN
jingled VBD
jinx NN
job NN
jobless JJ
jobs NNS
jockey NN
jocular JJ
joined VBD
joined VBN
joke VB
jokes NNS
joking VBG
jolly JJ
jollying VBG
jolt NN
jolt VB
jotting VBG
jour FW-NN
journals NNS
journey's NN$
jowls NNS
joy NN
joys NNS
jubilantly RB
judging VBG
judgment NN
jug NN
juice NN
juices NNS
jumped VBD
junk NN
jury NN
just JJ
just QL
just RB
justify VB
keen JJ
keep VB
keeping VBG
keeps VBZ
keno NN
kept VBD
kept VBN
kettle NN
key NN
keyboard NN
keys NNS
kibbutzim NNS
kicks NNS
kid NN
kid VB
kidding VBG
kids NNS
kill VB
killed VBD
killed VBN
killing NN
killing VBG
kimono NN
kind JJ
kind NN
kind's NN+BEZ
kinds NNS
kinship NN
kiss NN
kiss VB
kissed VBD
kissing VBG
kitchen NN
kitchenette NN
kitten NN
kittens NNS
kneel VB
kneeling VBG
knees NNS
knelt VBD
knew VBD
knife NN
knight NN
knights NNS
knitted VBN
knob NN
knocked VBN
knocking VBG
knot NN
know VB
knowing VBG
knowingly RB
knowledge NN
known VBN
knows VBZ
kotowaza FW-NN
l's NN
lab NN
label NN
labor NN
lace NN
laced VBN
lacerate VB
lack NN
lack VB
lacy JJ
lad NN
ladder NN
laden JJ
ladies NNS
lady NN
lady's NN$
lagoon NN
laid VBD
laid VBN
laments NNS
lamp NN
lamplight NN
land NN
land VB
landing NN
language NN
lap NN
lapping VBG
lapse NN
large JJ
larger JJR
lash NN
last AP
last NN
last RB
last VB
lasted VBD
lasting VBG
late JJ
late RB
lately RB
later RBR
lath NN
laugh NN
laugh VB
laughed VBD
laughed VBN
laughing VBG
laughter NN
lavender NN
law NN
lawful JJ
lawn NN
lawns NNS
laws NNS
lawyer NN
lay VBD
lay-sisters NNS
lazy JJ
lead NN
lead VB
leader NN
leaders NNS
leadership NN
leading VBG
leads VBZ
leaf NN
leafed VBD
league NN
leagues NNS
leak NN
leaks NNS
lean JJ
leaned VBD
leaned VBN
leaning VBG
leap VB
leaped VBD
learn VB
learned VBN
learning VBG
least AP
leather NN
leave NN
leave VB
leaves NNS
leaves VBZ
leavin' VBG
leaving VBG
lecture NN
led VBD
led VBN
left JJ
left NR
left VBD
left VBN
leg NN
legal JJ
leggings NNS
legion NN
legs NNS
leisure NN
lemon NN
length NN
lengthy JJ
les FW-AT
less AP
less QL
less RBR
less-dramatic JJ
lessen VB
lessened VBN
lessons NNS
lest CS
let NN
let VB
let VBD
let's VB+PPO
lethargy NN
letter NN
lettering VBG
letters NNS
letting VBG
level JJ
lewd JJ
liberty NN
library NN
license NN
lick VB
licked VBD
licked VBN
licking VBG
lie NN
lie VB
lied VBD
lies NNS
lies VBZ
lieutenant NN
life NN
lifeguards NNS
lifetime NN
lift NN
lift VB
lifted VBD
lifting VBG
light JJ
light NN
light VB
lightened VBD
lighthearted JJ
lightly RB
lights NNS
like CS
like IN
like VB
liked VBD
liked VBN
likee VB
likely RB
likened VBN
likes VBZ
liking VBG
limit NN
limp JJ
limp NN
limpid JJ
limping VBG
linden NN
line NN
lined VBD
lines NNS
lingered VBD
lingerie NN
liniment NN
link NN
linked VBN
lip NN
lips NNS
lipstick NN
liquidation NN
liquor NN
list NN
listen VB
listened VBD
listeners NNS
listening VBG
lit VBD
lit VBN
literally RB
literary JJ
literature NN
lithe JJ
littered VBN
little AP
little JJ
little QL
little-town NN
live VB
lived VBD
lived VBN
lively RB
lives NNS
lives VBZ
living NN
living VBG
loaded VBN
loafed VBD
loathing VBG
lobby NN
local JJ
lock NN
locked VBD
locker NN
locking VBG
lodge NN
lodges NNS
lodgings NNS
log-house NN
logging VBG
logic NN
logical JJ
lone JJ
lonely JJ
lonesome JJ
long JJ
long RB
long VB
long-hair NN
long-sleeved JJ
longer JJR
longer RBR
longest JJT
look NN
look VB
looked VBD
looked VBN
looking VBG
looks NNS
looks VBZ
looming VBG
loose JJ
loosely RB
loosen VB
loosened VBD
loosened VBN
looseness NN
lore NN
lose VB
loss NN
lost VBD
lost VBN
lot NN
lotion NN
lots NNS
loud JJ
loud RB
loudly RB
lounging VBG
love NN
love VB
loved VBD
loved VBN
lovely JJ
lover NN
lovers' NNS$
loving VBG
low JJ
low RB
low-priced JJ
lower JJR
lower-cut JJR
lowered VBD
lowered VBN
lowering VBG
lowly JJ
loyal JJ
loyalty NN
lubricated VBN
luck NN
lucky JJ
lug VB
lugged VBD
lugged VBN
lukewarm JJ
lulu NN
lumber NN
lumbering VBG
lump NN
lumps NNS
lumpy JJ
lunatic JJ
lunch NN
luncheon NN
lung NN
lurched VBD
lush JJ
lying VBG
lyric JJ
ma FW-CS
machine NN
machines NNS
mackerel NN
mad JJ
made VBD
made VBN
madness NN
magazine NN
magazines NNS
magenta JJ
magic NN
magical JJ
magnificence NN
magnificent JJ
magnificently RB
magnum NN
maid NN
maids NNS
mail NN
mailbox NN
mailed VBD
mailman NN
main JJS
main NN
mainly RB
maintenance NN
major JJ
make VB
make-up NN
makes VBZ
makeshift JJ
makeshifts NNS
making VBG
male NN
maleness NN
malevolence NN
malingering NN
mama NN
mammas NNS
man NN
man's NN$
manage VB
managed VBD
managed VBN
management NN
manager NN
maneuver NN
maneuvered VBD
maneuvers NNS
mania NN
manned VBN
manner NN
manufactured VBD
manufacturer NN
manufacturing VBG
manure NN
manure-scented JJ
many ABN
many AP
maples NNS
marbleized VBN
mare NN
mares NNS
mariner NN
mark NN
mark VB
marked VBD
marked VBN
market NN
markets NNS
marking VBG
marred VBN
marriage NN
married VBD
married VBN
marry VB
marrying VBG
marshal VB
martingale NN
martini NN
masculine JJ
mash NN
mass NN
mass VB
mast NN
masters NNS
mastiff NN
match NN
match VB
matched VBN
mate NN
mater FW-NN
material NN
materials NNS
maternal JJ
math NN
matter NN
matter VB
maturity NN
maw NN
maximum NN
may MD
maybe RB
mayor NN
me PPO
meadow NN
meal NN
mean JJ
mean VB
meaning NN
means VBZ
meant VBD
meant VBN
meantime NN
meanwhile RB
mechanical JJ
medical JJ
medicine NN
medieval JJ
medium-sized JJ
meet VB
meeting NN
meeting VBG
meets VBZ
melancholy NN
melody NN
melted VBN
melting VBG
member NN
members NNS
memorized VBN
memory NN
men NNS
men's NNS$
mental JJ
mention VB
mentioned VBD
mentioned VBN
merchant NN
mercy NN
mere JJ
merest JJT
merger NN
mergers NNS
merit NN
merriest JJT
merriment NN
mess NN
message NN
messing VBG
messy JJ
met VBD
met VBN
metabolism NN
metal NN
metal-tasting JJ
metallic JJ
meteoric JJ
method NN
methodically RB
microphone NN
middle JJ
middle NN
middle-aged JJ
midnight NN
midshipmen NNS
midweek NN
midwife NN
might MD
mightily RB
mighty JJ
mighty QL
migrated VBN
mild JJ
mild-mannered JJ
mild-voiced JJ
mile NN
miles NNS
milk NN
mill NN
milling VBG
million CD
millions NNS
mind NN
mind VB
mind's NN$
minded VBD
mindless JJ
mine PP$$
mines NNS
mingled VBD
mingling VBG
miniature JJ
miniature NN
mining VBG
minister NN
mink NN
minor JJ
mint NN
minute NN
minutes NNS
miracle NN
mirror NN
miserable JJ
miserably RB
miseries NNS
misfortune NN
misguided VBN
missed VBD
missed VBN
missiles NNS
missing VBG
mission NN
missionaries NNS
missionary NN
misstep NN
mist NN
mist-like JJ
mistake NN
mistaken VBN
mists NNS
miswritten VBN
miuchi FW-VB
mix VB
mixed VBN
mock JJ
mockery NN
mockingly RB
models NNS
modern JJ
modest JJ
modifier NN
moist JJ
mold NN
mole NN
mollified VBN
moment NN
moment's NN$
momentary JJ
moments NNS
momentum NN
money NN
monkey NN
monosyllables NNS
monotonous JJ
monster NN
monstrous JJ
month NN
months NNS
mood NN
moon NN
moon-washed JJ
moonlight NN
moonlit JJ
moons NNS
moontrack NN
mopping VBG
mops NNS
moral JJ
morality NN
more AP
more QL
more RBR
morning NN
mornings NNS
morose JJ
morosely RB
mortgage NN
mosaic NN
moss NN
most AP
most QL
most RBT
mostly RB
motel NN
moth NN
mother NN
mother's NN$
mother-of-pearl NN
mothers NNS
moths NNS
motion NN
motionless JJ
motivation NN
motives NNS
motor NN
motorscooters NNS
mound NN
mount VB
mountain NN
mountains NNS
mounted VBD
mourning VBG
mouth NN
mouthful NN
mouthpiece NN
mouths NNS
move VB
moved VBD
moved VBN
movement NN
movie NN
movie-to-be NN
movies NNS
moving VBG
much AP
much QL
much RB
mud NN
muddling VBG
muddy JJ
multi-colored JJ
multicolored JJ
multitude NN
multitudinous JJ
mumbled VBD
mumbling VBG
mural NN
murder NN
murdered VBN
murdering VBG
murky JJ
murmured VBD
murmuring VBG
muscles NNS
mused VBD
music NN
musn't MD*
mussels NNS
must MD
muster NN
mustn't MD*
mutineer NN
mutiny NN
muttered VBD
mutually RB
my PP$
myriad JJ
myself PPL
mysterious JJ
mysteriously RB
mystical JJ
myth NN
nagging NN
nagging VBG
nails NNS
naive JJ
naked JJ
nakedness NN
name NN
name VB
name's NN+BEZ
named VBN
names NNS
namesake NN
nap NN
napping VBG
narrow JJ
narrowed VBD
narrows VBZ
nary ABN
nasty JJ
nation NN
national JJ
nationwide JJ
natives NNS
natural JJ
naturally RB
nature NN
naval JJ
navel NN
navy-blue JJ
ne FW-*
near IN
near JJ
near RB
nearby JJ
nearer RBR
nearest JJT
nearly QL
nearly RB
nearsighted JJ
neat JJ
neatest JJT
neatly RB
neatness NN
necessary JJ
necessity NN
neck NN
neck VB
necklace NN
necks NNS
necktie NN
need MD
need NN
need VB
needed VBD
needed VBN
needs VBZ
negative JJ
neglected VBD
neglected VBN
negligent JJ
neighbor NN
neighborhood NN
neither CC
neither DTX
neon NN
nephew NN
nerve NN
nerve-shattering JJ
nerves NNS
nervous JJ
nervously RB
nest NN
nestled VBN
nests NNS
nettled VBN
network NN
never RB
new JJ
newly RB
newly-plowed JJ
newly-scrubbed JJ
news NN
newspaper NN
next AP
next IN
next RB
next-door JJ
nibs' NN$
nice JJ
nice-looking JJ
night NN
night's NN$
nightmare NN
nights NNS
nigs NNS
nine CD
nine-to-five JJ
nineteen CD
nineteenth OD
nineties NNS
ninety-nine CD
ninety-six CD
nip NN
nitrogen NN
no AT
no RB
no-good JJ
noble JJ
nobleman NN
noblesse NN
nobody PN
nobody'd PN+HVD
nobody's PN$
nod NN
nod VB
nodded VBD
nodding VBG
noise NN
noises NNS
noisily RB
noisy JJ
non FW-RB
noncommittally RB
nondescriptly RB
none PN
noon NN
nor CC
normal JJ
northeast NR
nose NN
noses NNS
not *
not-so-pale JJ
note NN
note VB
notes NNS
nothing PN
notice NN
notice VB
noticed VBD
noticed VBN
noticing VBG
novel NN
novels NNS
novelty NN
now RB
nowhere RB
nudge NN
numb JJ
number NN
numbers NNS
numerals NNS
numerous JJ
nurse NN
nursery NN
nurses' NNS$
nursing VBG
nut NN
nuts NNS
nuzzled VBD
nylon NN
nymphomaniac NN
o'clock RB
obelisk NN
obey VB
obeyed VBD
obligated VBD
oblige NN
obliged VBN
oblivion NN
obnoxious JJ
obscure JJ
observed VBD
obstacle NN
obvious JJ
obviously RB
occasion NN
occasional JJ
occasionally RB
occasions NNS
occupation NN
occupied VBD
occupied VBN
occurred VBN
occurring VBG
ocean NN
ocher NN
odd JJ
oddly RB
odds NNS
odds-on JJ
odor NN
of IN
of IN-TL
off IN
off RP
off-duty JJ
off-key JJ
off-road JJ
offer NN
offer VB
offered VBD
offered VBN
offering VBG
office NN
officer NN
officers NNS
officers' NNS$
offices NNS
official NN
often RB
ogled VBD
oh UH
oil NN
okay UH
old JJ
old-fashioned JJ
old-grad-type NN
older JJR
oldest JJT
ominous JJ
omitted VBN
omniscient JJ
on IN
on RP
once CS
once RB
one CD
one PN
one's PN$
one-arm NN
one-o'clock NN
one-sided JJ
one-two-three NN
oneasy JJ
ones NNS
onion NN
onions NNS
only AP
only JJ
only QL
only RB
onto IN
onus NN
open JJ
open VB
open-handed JJ
open-mouthed JJ
opened VBD
opened VBN
opening VBG
openly RB
operate VB
operated VBD
operation NN
opinion NN
opportunities NNS
opportunity NN
opposite JJ
opposite NN
opposition NN
oppressive JJ
optimism NN
or CC
orange JJ
orange NN
orbit VB
orchids NNS
order NN
order VB
ordered VBD
ordered VBN
orderly JJ
orders NNS
ordinarily RB
ordnance NN
organization NN
organize VB
organized VBN
originated VBN
orphanage NN
orthodox JJ
other AP
other's AP$
others NNS
otherwise RB
ought MD
ounce NN
our PP$
ours PP$$
ourselves PPLS
out IN
out RP
out-dated JJ
outcry NN
outdistanced VBD
outdoor JJ
outfield NN
outfielders NNS
outfit NN
outlines NNS
outraged VBN
outside IN
outside RB
outsiders NNS
outsized JJ
outskirts NNS
outta RP+IN
outward RB
over IN
over RP
over-large JJ
overall JJ
overdeveloped VBN
overdue JJ
overexcited VBN
overgenerous JJ
overhand JJ
overhead JJ
overhead RB
overheard VBN
overhearing VBG
overloud JJ
overly QL
overplayed VBD
overseas RB
overshoes NNS
oversubscribed VBN
overturning VBG
overwhelmed VBN
overwhelmingly RB
owe VB
owed VBD
owing VBG
own JJ
own VB
owned VBD
owned VBN
owns VBZ
oystchers NNS
oystchers'll NNS+MD
pace NN
paced VBD
pacifies VBZ
pack NN
pack VB
package NN
packed VBD
packed VBN
packing VBG
pact NN
padded VBN
padding VBG
page NN
pages NNS
paid VBD
paid VBN
pails NNS
pain NN
painful JJ
paint NN
paint VB
painted VBD
painted VBN
painter NN
painters NNS
painting NN
painting VBG
paintings NNS
pair NN
pairs NNS
pajama NN
pajamas NNS
pale JJ
paleness NN
pales NNS
palest JJT
palisades NNS
pall NN
pallid JJ
pan NN
paneling NN
panic NN
panicky JJ
panties NNS
panting VBG
pants NNS
paot FW-NN
papal JJ
paper NN
paperback NN
papers NNS
parachute NN
parade NN
paraded VBD
parades VBZ
parapets NNS
parasol NN
parboiled VBD
pardon NN
parent NN
parents NNS
parents' NNS$
parish NN
park NN
parked VBN
parking VBG
parkish JJ
parks NNS
parlor NN
part NN
partially RB
participate VB
participated VBN
participating VBG
particular JJ
particularly QL
particularly RB
parties NNS
parting VBG
partly QL
partner NN
parts NNS
party NN
pass NN
pass VB
passed VBD
passed VBN
passenger NN
passes NNS
passing NN
passing VBG
passion NN
passionately RB
past IN
past JJ
past NN
past RB
paste NN
pat NN
patch NN
patchwork NN
path NN
pathetic JJ
patience NN
patient NN
patient's NN$
patiently RB
patients NNS
patina NN
patriarchy NN
pattered VBD
paunch NN
pause NN
paused VBD
paved VBN
paxam FW-NN
pay NN
pay VB
peace NN
peaceful JJ
peach NN
peaches NNS
peaked JJ
pearl NN
peculiar JJ
peculiarly RB
peel VB
peered VBD
peering VBG
pelting VBG
pen-and-ink NN
penalty NN
pencil NN
penetrated VBD
penetrating JJ
pennies NNS
penniless JJ
pens NNS
people NNS
people's NNS$
peppermints NNS
percentage NN
perception NN
perched VBD
perfect JJ
perfectly QL
perform VB
performer NN
perhaps RB
perilously RB
perils NNS
period NN
periods NNS
perk VB
permeates VBZ
permission NN
permitted VBD
permitted VBN
persecuted VBN
persisted VBD
person NN
personal JJ
personally RB
personnel NNS
persons NNS
persuade VB
petals NNS
petted VBN
pettiness NN
philharmonic NN
