Thirty-three CD-HL
. .
`` ``
Not *
this DT
old JJ
fox NN
'' ''
, ,
chuckled VBD
Uncle NN-TL
Randolph NP
. .
`` ``
Everybody PN
knows VBZ
I'm PPSS+BEM
just RB
a AT
harmless JJ
, ,
deaf JJ
old JJ
man NN
who WPS
takes VBZ
to TO
drink VB
. .
I PPSS
aim VB
to TO
keep VB
a AT
little JJ
whisky NN
still NN
back RB
in IN
the AT
ridge NN
for IN
my PP$
pleasure NN
'' ''
. .
`` ``
Whiskey NN
still NN
, ,
my PP$
foot NN
'' ''
, ,
said VBD
Joel NP
. .
`` ``
You're PPSS+BER
back RB
there RB
riding VBG
with IN
the AT
guerrillas NNS
, ,
the AT
Moccasin NN-TL
Rangers NNS-TL
'' ''
. .
`` ``
Hush UH
'' ''
, ,
said VBD
Uncle NN-TL
Randolph NP
, ,
smiling VBG
, ,
`` ``
or CC
I'll PPSS+MD
give VB
you PPO
another DT
black JJ
eye NN
'' ''
. .
He PPS
patted VBD
the AT
eye NN
Joel NP
had HVD
had HVN
blackened VBN
in IN
a AT
fight NN
over IN
being BEG
Rebel NN-TL
at IN
the AT
crossroads NNS
some DTI
days NNS
back RB
. .
Kate NP
had HVD
no AT
idea NN
what WDT
they PPSS
were BED
talking VBG
of IN
, ,
although CS
she PPS
had HVD
seen VBN
the AT
blue JJ
lights NNS
and CC
strange JJ
fires NNS
burning VBG
and CC
winking VBG
on IN
the AT
ridges NNS
at IN
night NN
, ,
had HVD
heard VBN
horsemen NNS
on IN
the AT
River NN-TL
Road NN-TL
and CC
hill NN
trails NNS
through IN
the AT
nights NNS
till CS
dawn NN
. .
Stranger NN
, ,
Uncle NN-TL
Randolph NP
began VBD
riding VBG
home NR
nights NNS
with IN
a AT
jug NN
strapped VBN
to IN
his PP$
saddle NN
, ,
drunkenly RB
singing VBG
`` ``
Old JJ-TL
Dan NP-TL
Tucker NP-TL
'' ''
at IN
the AT
top NN
of IN
his PP$
voice NN
. .
Hearing VBG
his PP$
voice NN
ring VB
raucously RB
up RP
from IN
the AT
road NN
, ,
Kate NP
would MD
await VB
him PPO
anxiously RB
and CC
watch VB
perplexed VBN
as CS
he PPS
walked VBD
into IN
the AT
house NN
, ,
cold JJ
sober JJ
. .
What WDT
he PPS
was BEDZ
about RB
became VBD
clear JJ
to IN
her PPO
with IN
the AT
circulation NN
of IN
another DT
broadside NN
proclamation NN
by IN
General NN-TL
McClellan NP
, ,
threatening VBG
reprisals NNS
against IN
Rebel NN-TL
guerrillas NNS
. .
She PPS
was BEDZ
taken VBN
up RP
in IN
worry NN
for IN
the AT
reckless JJ
old JJ
man NN
. .
Kate NP
drew VBD
more RBR
and CC
more RBR
on IN
her PP$
affection NN
for IN
Joel NP
through IN
the AT
hot JJ
days NNS
of IN
summer NN
work NN
. .
She PPS
had HVD
taken VBN
him PPO
out IN
of IN
the AT
schoolhouse NN
and CC
closed VBN
the AT
school NN
for IN
the AT
summer NN
, ,
after CS
she PPS
saw VBD
Miss NP
Snow NP
crack VB
Joel NP
across IN
the AT
face NN
with IN
a AT
ruler NN
for IN
letting VBG
a AT
snake NN
loose JJ
in IN
the AT
schoolroom NN
. .
Kate NP
had HVD
walked VBN
past IN
the AT
school NN
on IN
her PP$
morning NN
chores NNS
and CC
had HVD
seen VBN
the AT
whole JJ
incident NN
, ,
had HVD
seen VBN
Joel's NP$
burning VBG
humiliation NN
before IN
Miss NP
Snow's NP$
cold JJ
, ,
bespectacled JJ
wrath NN
. .
He PPS
had HVD
the AT
hardest JJT
pains NNS
of IN
growing VBG
before IN
him PPO
now RB
, ,
as CS
he PPS
approached VBD
twelve CD
. .
These DTS
would MD
be BE
his PP$
hardest JJT
years NNS
, ,
she PPS
knew VBD
, ,
and CC
he PPS
missed VBD
his PP$
father NN
desperately RB
. .
She PPS
tried VBD
to TO
find VB
some DTI
way NN
to TO
draw VB
him PPO
out RP
, ,
to TO
help VB
him PPO
. .
Whenever WRB
she PPS
found VBD
time NN
, ,
she PPS
went VBD
blackberry NN
picking NN
with IN
him PPO
, ,
and CC
they PPSS
would MD
come VB
home NR
together RB
, ,
mouths NNS
purple JJ
, ,
arms NNS
and CC
faces NNS
scratched VBN
, ,
tired VBN
enough QLP
to TO
forget VB
grief NN
for IN
another DT
day NN
. .
He PPS
tended VBD
the AT
new JJ
colts NNS
Beau NP
had HVD
sired VBN
. .
He PPS
helped VBD
Kate NP
and CC
Juanita NP
enlarge VB
the AT
flower NN
garden NN
in IN
the AT
side NN
yard NN
, ,
where WRB
they PPSS
sometimes RB
sat VBD
in IN
the AT
still JJ
evenings NNS
watching VBG
the AT
last AP
fat JJ
bees NNS
working VBG
against IN
the AT
summer's NN$
purple JJ
dusk NN
. .
No AT
one PN
went VBD
much RB
to IN
the AT
crossroads NNS
now RB
except IN
Uncle NN-TL
Randolph NP
. .
They PPSS
stayed VBD
in IN
their PP$
own JJ
world NN
on IN
the AT
bluff NN
, ,
waiting VBG
for IN
letters NNS
and CC
the AT
peddler NN
, ,
bringing VBG
the AT
news NN
. .
Jonathan NP
wrote VBD
grimly RB
of IN
the AT
destruction NN
of IN
Harpers NP$-TL
Ferry NN-TL
before CS
they PPSS
abandoned VBD
it PPO
; .
; .
of IN
their PP$
first OD
engagement NN
at IN
Falling VBG-TL
Waters NNS-TL
after CS
Old JJ-TL
Jack's NP$
First OD-TL
Brigade NN-TL
had HVD
destroyed VBN
all ABN
the AT
rolling VBG
stock NN
of IN
the AT
B NP-TL
& CC-TL
O NP-TL
Railroad NN-TL
. .
The AT
men NNS
were BED
restive JJ
, ,
he PPS
wrote VBD
, ,
ready JJ
to TO
take VB
the AT
battle NN
to IN
the AT
enemy NN
as CS
Jackson NP
wished VBD
. .
The AT
peddler NN
came VBD
bawling VBG
his PP$
wares NNS
and CC
told VBD
them PPO
of IN
the AT
convention NN
in IN
Wheeling NP
, ,
Which WDT
had HVD
formed VBN
a AT
new JJ
state NN
government NN
by IN
declaring VBG
the AT
government NN
at IN
Richmond NP
in IN
the AT
east NR
illegal JJ
because CS
they PPSS
were BED
traitors NNS
. .
Dangling VBG
his PP$
gaudy JJ
trinkets NNS
before IN
them PPO
, ,
he PPS
told VBD
of IN
the AT
Rebel NN-TL
losses NNS
in IN
the AT
mountains NNS
, ,
at IN
Cheat NP
and CC
Rich NP
mountains NNS
both ABX
, ,
and CC
the AT
Federal JJ-TL
march NN
on IN
Beverly NP
. .
`` ``
Cleaned VBD
all ABN
them PPO
Rebs NPS
out'n RP+IN
the AT
hills NNS
, ,
they PPSS
did DOD
! .
! .
They PPSS
won't MD*
never RB
git VB
over IN
inter IN
loyal JJ
western JJ
Virginia NP
, ,
them PPO
traitors NNS
! .
! .
The AT
Federals NPS
is BEZ
making VBG
everybody PN
take VB
the AT
oath NN
of IN
loyalty NN
around IN
these DTS
parts NNS
too RB
'' ''
, ,
he PPS
crowed VBD
. .
After CS
he PPS
had HVD
gone VBN
, ,
Kate NP
asked VBD
Uncle NN-TL
Randolph NP
proudly RB
, ,
`` ``
Would MD
you PPSS
take VB
their PP$
oath NN
'' ''
? .
? .
And CC
the AT
old JJ
man NN
had HVD
given VBN
a AT
sly JJ
and CC
wicked JJ
laugh NN
and CC
said VBD
, ,
`` ``
Hell UH
, ,
yes RB
! .
! .
I PPSS
think VB
I've PPSS+HV
taken VBN
it PPO
about RB
fifty CD
times NNS
already RB
'' ''
! .
! .
Winking VBG
at IN
Joel's NP$
look NN
of IN
shock NN
. .
Her PP$
mother NN
wrote VBD
Kate NP
of IN
her PP$
grief NN
at IN
the AT
death NN
of IN
Kate's NP$
baby NN
and CC
at IN
Jonathan's NP$
decision NN
to TO
go VB
with IN
the AT
South NR-TL
`` ``
And CC
, ,
dear JJ
Kate NP
'' ''
, ,
she PPS
wrote VBD
, ,
`` ``
poor JJ
Dr. NN-TL
Breckenridge's NP$
son NN
Robert NP
is BEZ
now RB
organizing VBG
a AT
militia NN
company NN
to TO
go VB
South NR-TL
, ,
to IN
his PP$
good JJ
father's NN$
sorrow NN
. .
Maj. NN-TL
Anderson NP
of IN
Fort NN-TL
Sumter NP-TL
is BEZ
home NR
and CC
recruiting VBG
volunteers NNS
for IN
the AT
U.S. NP-TL
Army NN-TL
. .
In IN
spite IN
of IN
the AT
fact NN
that CS
the AT
state NN
legislature NN
voted VBD
us PPO
neutral JJ
, ,
John NP
Hunt NP
Morgan NP
is BEZ
openly RB
flying VBG
the AT
Confederate JJ-TL
flag NN
over IN
his PP$
woolen NN
factory NN
'' ''
! .
! .
Rumor NN
of IN
a AT
big JJ
battle NN
spread VBD
like CS
a AT
grassfire NN
up IN
the AT
valley NN
. .
Accounts NNS
were BED
garbled VBN
at IN
the AT
telegraph NN
office NN
when WRB
they PPSS
sent VBD
old JJ
George NP
down RP
to IN
Parkersburg NP
for IN
the AT
news NN
. .
`` ``
All ABN
dey PPSS
know VB
down RP
dere RB
is BEZ
it PPS
were BED
at IN
Manassas NP-TL
Junction NN-TL
and CC
it PPS
were BED
a AT
big JJ
fight NN
'' ''
, ,
the AT
old JJ
man NN
told VBD
them PPO
. .
In IN
the AT
next AP
few AP
days NNS
they PPSS
had HVD
cause NN
to TO
rejoice VB
. .
It PPS
had HVD
been BEN
a AT
big JJ
battle NN
, ,
and CC
the AT
Confederate JJ-TL
forces NNS
had HVD
won VBN
. .
Jonathan NP
and CC
Ben NP
were BED
not *
on IN
the AT
lists NNS
of IN
the AT
dead JJ
or CC
on IN
that DT
of IN
the AT
missing NN
. .
Kate NP
and CC
Mrs. NP
Tussle NP
waited VBD
for IN
letters NNS
anxiously RB
. .
Joel NP
went VBD
to IN
the AT
crest NN
of IN
a AT
hill NN
behind IN
the AT
house NN
and CC
lit VBD
an AT
enormous JJ
victory NN
bonfire NN
to TO
celebrate VB
. .
When WRB
Kate NP
hurried VBD
in IN
alarm NN
to TO
tell VB
him PPO
to TO
put VB
it PPO
out RP
, ,
she PPS
saw VBD
other AP
dots NNS
of IN
flames NNS
among IN
the AT
western JJ
Virginia NP
hills NNS
from IN
the AT
few AP
scattered VBN
fires NNS
of IN
the AT
faithful JJ
. .
They PPSS
all ABN
prayed VBD
now RB
that CS
the AT
North NR-TL
would MD
realize VB
that CS
peace NN
must MD
come VB
, ,
for CS
Virginia NP
had HVD
defended VBN
her PP$
land NN
victoriously RB
. .
The AT
week NN
after IN
Manassas NP
the AT
sound NN
of IN
horses NNS
in IN
the AT
yard NN
brought VBD
Kate NP
up RP
in IN
shock NN
from IN
an AT
afternoon's NN$
rest NN
when WRB
she PPS
saw VBD
the AT
Federal JJ-TL
soldiers NNS
from IN
her PPO
upstairs JJ
window NN
. .
They PPSS
had HVD
already RB
lost VBN
most AP
of IN
their PP$
corn NN
, ,
she PPS
thought VBD
. .
Were BED
they PPSS
to TO
be BE
insulted VBN
again RB
because CS
of IN
the AT
South's NR$-TL
great JJ
victory NN
? .
? .
She PPS
remembered VBD
McClellan's NP$
last AP
proclamation NN
as CS
she PPS
hurried VBD
fearfully RB
down IN
the AT
stairs NNS
. .
At IN
the AT
landing NN
she PPS
saw VBD
Juanita NP
, ,
her PP$
face NN
flushed VBN
pink JJ
with IN
excitement NN
, ,
run VB
down IN
the AT
hall NN
from IN
the AT
kitchen NN
to IN
the AT
front JJ
door NN
. .
Juanita NP
stopped VBD
just RB
inside IN
the AT
open JJ
door NN
, ,
her PP$
hand NN
to IN
her PP$
mouth NN
. .
As CS
Kate NP
came VBD
swiftly RB
down IN
the AT
stairs NNS
to IN
the AT
hall NN
she PPS
saw VBD
Colonel NN-TL
Marsh NP
framed VBD
in IN
the AT
doorway NN
, ,
his PP$
face NN
set VBN
in IN
the AT
same AP
vulnerable JJ
look NN
Juanita NP
wore VBD
. .
Kate NP
greeted VBD
him PPO
gravely RB
, ,
uneasy JJ
with IN
misgivings NNS
at IN
his PP$
visit NN
. .
`` ``
What WDT
brings VBZ
you PPO
here RB
again RB
, ,
Colonel NN-TL
Marsh NP
'' ''
? .
? .
She PPS
asked VBD
, ,
taking VBG
him PPO
and CC
Juanita NP
into IN
the AT
parlor NN
where WRB
the AT
shutters NNS
were BED
closed VBN
against IN
the AT
afternoon NN
sun NN
. .
`` ``
I PPSS
stopped VBD
to TO
say VB
goodbye UH
, ,
Mrs. NP
Lattimer NP
, ,
and CC
to TO
tell VB
you PPO
how QL
sorry JJ
I PPSS
was BEDZ
to TO
hear VB
about IN
your PP$
baby NN
. .
I PPSS
wish VB
our PP$
doctor NN
could MD
have HV
saved VBN
her PPO
'' ''
. .
`` ``
It PPS
was BEDZ
a AT
terrible JJ
loss NN
to IN
me PPO
'' ''
, ,
said VBD
Kate NP
quietly RB
, ,
feeling VBG
the AT
pain NN
twist VB
again RB
at IN
the AT
mention NN
, ,
knowing VBG
now RB
that CS
Juanita NP
must MD
have HV
written VBN
to IN
him PPO
at IN
Grafton NP
. .
`` ``
Where WRB
will MD
you PPSS
go VB
now RB
that CS
you're PPSS+BER
leaving VBG
Parkersburg NP
'' ''
? .
? .
She PPS
asked VBD
him PPO
, ,
seeing VBG
Juanita's NP$
eyes NNS
grow VB
bleak JJ
. .
`` ``
As CS
you PPSS
know VB
, ,
General NN-TL
McClellan NP
has HVZ
been BEN
occupying VBG
Beverly NP
. .
He PPS
has HVZ
notified VBN
me PPO
that CS
he PPS
has HVZ
orders NNS
to TO
go VB
to IN
Washington NP
to TO
take VB
over RP
the AT
Army NN-TL
of IN-TL
the AT-TL
Potomac NP-TL
. .
I PPSS
am BEM
to TO
go VB
to IN
Washington NP
to TO
serve VB
with IN
him PPO
'' ''
. .
`` ``
When WRB
are BER
you PPSS
to TO
leave VB
'' ''
? .
? .
Kate NP
asked VBD
, ,
watching VBG
them PPO
both ABX
now RB
anxiously RB
. .
Their PP$
eyes NNS
betrayed VBD
too QL
much AP
of IN
their PP$
emotions NNS
, ,
she PPS
thought VBD
sadly RB
. .
`` ``
Tomorrow NR
. .
Would MD
you PPSS
permit VB
Juanita NP
to TO
walk VB
about IN
the AT
grounds NNS
with IN
me PPO
for IN
a AT
short JJ
spell NN
, ,
Mrs. NP
Lattimer NP
'' ''
? .
? .
`` ``
Stay VB
here RB
in IN
the AT
parlor NN
where WRB
it's PPS+BEZ
cool JJ
'' ''
, ,
she PPS
said VBD
, ,
trying VBG
to TO
be BE
calm JJ
. .
It PPS
would MD
be BE
better JJR
for IN
Joel NP
and CC
Uncle NN-TL
Randolph NP
and CC
Mrs. NP
Tussle NP
not *
to TO
see VB
them PPO
. .
Kate NP
went VBD
back RB
and CC
reminded VBD
the AT
kitchen NN
women NNS
of IN
the AT
supper NN
preparations NNS
. .
Then RB
she PPS
took VBD
iced VBN
lemonade NN
to IN
Marsh's NP$
young JJ
aide NN
where WRB
he PPS
sat VBD
in IN
the AT
cool NN
of IN
the AT
big JJ
trees NNS
around IN
the AT
flower NN
garden NN
. .
When WRB
Marsh NP
called VBD
to IN
his PP$
aide NN
and CC
the AT
pair NN
rode VBD
off RP
down IN
the AT
River NN-TL
Road NN-TL
where WRB
the AT
gentians NNS
burned VBD
blue JJ
, ,
Juanita NP
was BEDZ
shaken VBN
and CC
trying VBG
not *
to TO
cry VB
. .
She PPS
sought VBD
Kate NP
out RP
upstairs RB
, ,
her PP$
lips NNS
trembling VBG
. .
`` ``
He PPS
wants VBZ
me PPO
to TO
go VB
with IN
him PPO
tomorrow NR
'' ''
, ,
she PPS
told VBD
Kate NP
. .
`` ``
What WDT
do DO
you PPSS
want VB
to TO
do DO
'' ''
? .
? .
Kate NP
asked VBD
, ,
uneasy JJ
at IN
the AT
gravity NN
of IN
the AT
girl's NN$
dilemma NN
. .
`` ``
I PPSS
could MD
go VB
with IN
him PPO
. .
He PPS
knows VBZ
me PPO
as CS
your PP$
niece NN
, ,
which WDT
, ,
of IN
course NN
, ,
I PPSS
am BEM
. .
But CC
I PPSS
am BEM
a AT
slave NN
! .
! .
You PPSS
own VB
me PPO
. .
It's PPS+BEZ
your PP$
decision NN
'' ''
, ,
said VBD
Juanita NP
, ,
holding VBG
her PP$
face NN
very QL
still JJ
, ,
trying VBG
to TO
contain VB
the AT
bitterness NN
of IN
her PP$
voice NN
as CS
she PPS
enunciated VBD
her PP$
words NNS
too QL
distinctly RB
. .
`` ``
No RB
, ,
the AT
decision NN
is BEZ
yours PP$$
. .
I PPSS
have HV
held VBN
your PP$
papers NNS
of IN
manumission NN
since CS
I PPSS
married VBD
Mr. NP
Lattimer NP
'' ''
. .
The AT
red JJ
glow NN
from IN
the AT
cove NN
had HVD
died VBN
out RP
of IN
the AT
sky NN
. .
The AT
two CD
in IN
the AT
bed NN
knew VBD
each DT
other AP
as CS
old JJ
people NNS
know VB
the AT
partners NNS
with IN
whom WPO
they PPSS
have HV
shared VBN
the AT
same AP
bed NN
for IN
many AP
years NNS
, ,
and CC
they PPSS
needed VBD
to TO
say VB
no AT
more AP
. .
The AT
things NNS
left VBN
unsaid JJ
they PPSS
both ABX
felt VBD
deeply RB
, ,
and CC
with IN
a AT
sigh NN
they PPSS
fell VBD
back RB
on IN
the AT
well-stuffed JJ
pillows NNS
. .
Anita NP
put VBD
out RP
the AT
remaining VBG
candles NNS
with IN
a AT
long JJ
snuffer NN
, ,
and CC
in IN
the AT
smell NN
of IN
scented VBN
candlewick NN
, ,
the AT
comforting VBG
awareness NN
of IN
each DT
other's AP$
bodies NNS
, ,
the AT
retained VBN
pattern NN
of IN
dancers NNS
and CC
guests NNS
remembered VBN
, ,
their PP$
minds NNS
grew VBD
numb JJ
and CC
then RB
empty JJ
of IN
images NNS
. .
They PPSS
slept VBD
-- --
Mynheer NP
with IN
a AT
marvelously RB
high-pitched JJ
snoring NN
, ,
the AT
damn JJ
seahorse NN
ivory NN
teeth NNS
watching VBG
him PPO
from IN
a AT
bedside NN
table NN
. .
In IN
the AT
ballroom NN
below RB
, ,
the AT
dark NN
had HVD
given VBN
way NN
to IN
moonlight NN
coming VBG
in RP
through IN
the AT
bank NN
of IN
French JJ
windows NNS
. .
It PPS
was BEDZ
a AT
delayed VBN
moon NN
, ,
but CC
now RB
the AT
sky NN
had HVD
cleared VBN
of IN
scudding VBG
black JJ
and CC
the AT
stars NNS
sugared VBD
the AT
silver-gray JJ
sky NN
. .
Martha NP
Schuyler NP
, ,
old JJ
, ,
slow JJ
, ,
careful JJ
of IN
foot NN
, ,
came VBD
down IN
the AT
great JJ
staircase NN
, ,
dressed VBN
in IN
her PP$
best JJT
lace-drawn JJ
black JJ
silk NN
, ,
her PP$
jeweled JJ
shoe NN
buckles NNS
held VBD
forward RB
. .
`` ``
Well UH
, ,
I'm PPSS+BEM
here RB
at IN
last RB
'' ''
, ,
she PPS
said VBD
, ,
addressing VBG
the AT
old JJ
portraits NNS
on IN
the AT
walls NNS
. .
`` ``
I PPSS
don't DO*
hear VB
the AT
music NN
. .
I PPSS
am BEM
getting VBG
deaf JJ
, ,
I PPSS
must MD
admit VB
it PPO
'' ''
. .
She PPS
came VBD
to IN
the AT
ballroom NN
and CC
stood VBD
on IN
the AT
two CD
carpeted VBN
steps NNS
that WPS
led VBD
down RP
to IN
it PPO
. .
`` ``
Where WRB
is BEZ
everyone PN
? .
? .
I PPSS
say VB
, ,
where WRB
is BEZ
everyone PN
? .
? .
Peter NP
, ,
you PPSS
lummox NN
, ,
you've PPSS+HV
forgot VBN
to TO
order VB
the AT
musicians NNS
'' ''
. .
She PPS
stood VBD
there RB
, ,
a AT
large JJ
old JJ
woman NN
, ,
smiling VBG
at IN
the AT
things NNS
she PPS
would MD
say VB
to IN
him PPO
in IN
the AT
morning NN
, ,
this DT
big JJ
foolish JJ
baby NN
of IN
a AT
son NN
. .
There EX
were BED
times NNS
now RB
, ,
like CS
this DT
, ,
when WRB
she PPS
lost VBD
control NN
of IN
the AT
time NN
count NN
and CC
moved VBD
freely RB
back RB
and CC
forth RB
into IN
three CD
generations NNS
. .
Was BEDZ
it PPS
a AT
birthday NN
ball NN
? .
? .
When WRB
Peter NP
had HVD
reached VBN
his PP$
majority NN
at IN
eighteen CD
? .
? .
Or CC
was BEDZ
it PPS
her PP$
own JJ
first OD
ball NN
as CS
mistress NN
of IN
this DT
big JJ
house NN
, ,
a AT
Van NP
Rensselaer NP
bride NN
from IN
way NN
upstate RB
near IN
Albany NP
, ,
from IN
Rensselaerwyck NP
. .
And CC
this DT
handsome JJ
booby NN
, ,
staring VBG
and CC
sweating VBG
, ,
was BEDZ
he PPS
her PP$
bridegroom NN
? .
? .
Martha NP
picked VBD
up RP
the AT
hem NN
of IN
her PP$
gown NN
and CC
with IN
eyes NNS
closed VBD
she PPS
slowly RB
began VBD
to TO
dance VB
a AT
stately JJ
minuet NN
around IN
the AT
ballroom NN
. .
David NP
Cortlandt NP
was BEDZ
tired VBN
beyond IN
almost RB
the AT
limits NNS
of IN
his PP$
flesh NN
. .
He PPS
had HVD
ridden VBN
hard RB
from IN
Boston NP
, ,
and CC
he PPS
was BEDZ
not *
used VBN
to IN
horseback NN
. .
Now RB
, ,
driving VBG
the AT
horse NN
and CC
sulky JJ
borrowed VBN
from IN
Mynheer NP
Schuyler NP
, ,
he PPS
felt VBD
as CS
if CS
every AT
bone NN
was BEDZ
topped VBN
by IN
burning VBG
oil NN
and CC
that CS
every AT
muscle NN
was BEDZ
ready JJ
to TO
dissolve VB
into IN
jelly NN
and CC
leave VB
his PP$
big JJ
body NN
helpless JJ
and CC
unable JJ
to TO
move VB
. .
The AT
road NN
leading VBG
south NR
along IN
the AT
river NN
was BEDZ
shaded VBN
with IN
old JJ
trees NNS
, ,
and CC
in IN
the AT
moonlight NN
the AT
silvery JJ
landscape NN
was BEDZ
like CS
a AT
setting NN
for IN
trolls NNS
and CC
wood NN
gods NNS
rather IN
than IN
the AT
Hudson NP-TL
River NN-TL
Valley NN-TL
of IN
his PP$
boyhood NN
memories NNS
. .
He PPS
slapped VBD
the AT
reins NNS
on IN
the AT
back NN
of IN
the AT
powerful JJ
gray JJ
horse NN
and CC
held VBD
on RP
as CS
the AT
sulky's NN$
wheels NNS
hit VBD
a AT
pothole NN
and CC
came VBD
out RP
with IN
a AT
jolt NN
and CC
went VBD
on RP
. .
He PPS
would MD
cross VB
to IN
Manhattan NP
, ,
to IN
Harlem NP-TL
Heights NNS-TL
, ,
before IN
morning NN
. .
There EX
a AT
certain JJ
farmhouse NN
was BEDZ
a AT
station NN
for IN
the AT
Sons NNS-TL
of IN-TL
Liberty NN-TL
. .
He PPS
would MD
send VB
on RP
by IN
trusted VBN
messenger NN
the AT
dispatches NNS
with IN
their PP$
electrifying JJ
news NN
. .
And CC
he PPS
would MD
sleep VB
, ,
sleep VB
, ,
and CC
never RB
think VB
of IN
roads NNS
and CC
horses' NNS$
sore JJ
haunches NNS
, ,
of IN
colonial JJ
wars NNS
. .
Strange JJ
how WRB
everything PN
here RB
fitted VBD
back RB
into IN
his PP$
life NN
, ,
even RB
if CS
he PPS
had HVD
been BEN
away RB
so QL
long JJ
. .
Mynheer NP
, ,
Sir NP
Francis NP
, ,
the AT
valley NN
society NN
, ,
the AT
very AP
smell NN
of IN
the AT
river NN
on IN
his PP$
right NR
purling VBG
along RB
to IN
the AT
bay NN
past IN
fish NN
weirs NNS
and CC
rocks NNS
, ,
and CC
ahead RB
the AT
sleepy JJ
ribbon NN
of IN
moon-drenched JJ
road NN
. .
A AT
mist NN
was BEDZ
walking VBG
on IN
the AT
water NN
, ,
white JJ
as CS
cotton NN
, ,
but CC
with IN
a AT
blending VBG
and CC
merging VBG
grace NN
. .
Ahead RB
there EX
was BEDZ
a AT
stirring NN
of IN
sudden JJ
movement NN
at IN
a AT
crossroads NNS
. .
David NP
reached VBD
for IN
the AT
pair NN
of IN
pistols NNS
in IN
the AT
saddlebags NNS
at IN
his PP$
feet NNS
. .
He PPS
pulled VBD
out RP
one CD
of IN
them PPO
and CC
cocked VBD
it PPO
. .
A AT
strange JJ
wood NN
creature NN
came VBD
floating VBG
up RP
from IN
a AT
patch NN
of IN
berry NN
bushes NNS
. .
It PPS
was BEDZ
a AT
grotesque JJ
hen NN
, ,
five CD
or CC
six CD
feet NNS
tall JJ
. .
It PPS
had HVD
the AT
features NNS
of IN
a AT
man NN
bewhiskered JJ
by IN
clumps NNS
of IN
loose JJ
feathers NNS
. .
It PPS
ran VBD
, ,
this DT
apocalyptic JJ
beast NN
, ,
on IN
two CD
thin JJ
legs NNS
, ,
and CC
its PP$
wings NNS
-- --
were BED
they PPSS
feathered VBD
arms NNS
? .
? .
-- --
flapped VBD
as CS
it PPS
ran VBD
. .
Its PP$
groin NN
was BEDZ
bloody JJ
. .
Black JJ
strips NNS
of IN
skin NN
hung VBD
from IN
it PPO
. .
The AT
horse NN
shied VBD
at IN
the AT
dreadful JJ
thing NN
and CC
flared VBD
its PP$
nostrils NNS
. .
David NP
took VBD
a AT
firm JJ
hand NN
with IN
it PPO
. .
The AT
creature NN
in IN
feathers NNS
looked VBD
around RB
and CC
David NP
saw VBD
the AT
mad JJ
eyes NNS
, ,
glazed VBN
with IN
an AT
insane JJ
fear NN
. .
The AT
ungainly JJ
bird NN
thing NN
ran VBD
away RB
, ,
and CC
to IN
David NP
its PP$
croaking NN
sounded VBD
like CS
the AT
crowing NN
of IN
a AT
tormented VBN
rooster NN
. .
Then RB
it PPS
was BEDZ
gone VBN
. .
He PPS
drove VBD
on RP
, ,
wary JJ
and CC
shaken VBN
. .
The AT
Sons NNS-TL
were BED
out RP
tonight NR
. .
Chapter NN-HL
10 CD-HL
New JJ-TL
York NP-TL
lay VBD
bleaching VBG
in IN
the AT
summer NN
sun NN
, ,
and CC
the AT
morning NN
fish NN
hawk NN
, ,
flying VBG
in IN
the AT
heated VBN
air NN
, ,
saw VBD
below IN
him PPO
the AT
long JJ
triangular JJ
wedge NN
of IN
Manhattan NP-TL
Island NN-TL
. .
It PPS
was BEDZ
thickly RB
settled VBN
by IN
fifteen CD
thousand CD
citizens NNS
and CC
laid VBN
out RP
into IN
pig-infested JJ
streets NNS
, ,
mostly RB
around IN
the AT
Battery NN-TL
, ,
going VBG
bravely RB
north NR
to IN
Wall NN-TL
Street NN-TL
, ,
but CC
giving VBG
up RP
and CC
becoming VBG
fields NNS
and CC
farms NNS
in IN
the AT
region NN
of IN
Harlem NP-TL
Heights NNS-TL
. .
From IN
there RB
it PPS
looked VBD
across RB
at IN
Westchester NP-TL
County NN-TL
and CC
the AT
Hudson NP-TL
River NN-TL
where WRB
the AT
manor NN
houses NNS
, ,
estates NNS
, ,
and CC
big JJ
farms NNS
of IN
the AT
original JJ
( (
non-Indian NP
) )
landowners NNS
began VBD
. .
On IN
the AT
east NR
side NN
of IN
the AT
island NN
of IN
Manhattan NP
the AT
indifferent JJ
hawk NN
knew VBD
the AT
East JJ-TL
River NN-TL
that WPS
connected VBD
New JJ-TL
York NP-TL
Bay NN-TL
with IN
Long JJ-TL
Island NN-TL
Sound NN-TL
. .
On IN
the AT
western JJ
tip NN
of IN
Long JJ-TL
Island NN-TL
protruded VBD
Brooklyn NP-TL
Heights NNS-TL
. .
It PPS
commanded VBD
a AT
view NN
over IN
Manhattan NP
and CC
the AT
harbor NN
. .
A AT
fringe NN
of IN
housing VBG
and CC
gardens NNS
bearded VBD
the AT
top NN
of IN
the AT
heights NNS
, ,
and CC
behind IN
it PPO
were BED
sandy JJ
roads NNS
leading VBG
past IN
farms NNS
and CC
hayfields NNS
. .
Husbandry NN
was BEDZ
bounded VBN
by IN
snake-rail NN
fences NNS
, ,
and CC
there EX
were BED
grazing VBG
cattle NNS
. .
On IN
the AT
shores NNS
north NR
and CC
south NR
, ,
the AT
fishers NNS
and CC
mooncursers NNS
-- --
smugglers NNS
-- --
lived VBD
along IN
the AT
churning VBG
Great JJ-TL
South JJ-TL
Bay NN-TL
